County,SecondDate,Cases_Change,Cases_Change%,Cases_Level_x,Transit_Change,Transit_Change%,Transit_Level,Cases_Level_y,Driving_Change,Driving_Change%,Driving_Level,Cases_Level,Walking_Change,Walking_Change%,Walking_Level,Table_Change,Table_Change%,Table_Level
104,Monroe,2020-03-27,-12,-0.4,18,2.1099999999999994,0.051040154813739705,43.45,18,8.299999999999997,0.14134877384196182,67.02,18,6.189999999999998,0.08527345364375255,78.78,0.0,0.0,0.0
105,Nassau,2020-03-27,114,0.18124006359300476,743,-0.3999999999999986,-0.01576044129235613,24.98,743,4.899999999999999,0.10370370370370367,52.15,743,8.929999999999993,0.13950945164817985,72.94,0.0,0.0,0.0
106,New York,2020-03-27,-19,-0.03505535055350553,523,1.25,0.15625,9.25,523,2.2600000000000016,0.1152473227944927,21.87,523,1.5699999999999985,0.18004587155963284,10.29,0.0,0.0,0.0
107,Onondaga,2020-03-27,-18,-0.6,12,5.300000000000004,0.11907436531116614,49.81,12,5.93,0.10338214783821478,63.29,12,3.770000000000003,0.08151351351351357,50.02,0.0,0.0,0.0
108,Queens,2020-03-27,86,0.06946688206785137,1324,0.129999999999999,0.006834910620399527,19.15,1324,3.5800000000000054,0.0833721471821147,46.52,1324,2.3499999999999943,0.054804104477611804,45.23,0.0,0.0,0.0
109,Richmond,2020-03-27,59,0.3597560975609756,223,0.6000000000000014,0.02302379125095938,26.66,223,6.859999999999999,0.1342728518301037,57.95,223,13.700000000000003,0.20776463451622693,79.64,0.0,0.0,0.0
110,Suffolk,2020-03-27,175,0.3684210526315789,650,1.019999999999996,0.025216316440049343,41.47,650,5.640000000000001,0.09740932642487048,63.54,650,9.060000000000002,0.10321257689678745,96.84,0.0,0.0,0.0
111,Westchester,2020-03-27,-10,-0.007980845969672785,1243,-0.9299999999999997,-0.03389212827988337,26.51,1243,6.009999999999998,0.1304536574777512,52.08,1243,8.439999999999998,0.13327017211432177,71.77,0.0,0.0,0.0
112,Albany,2020-03-31,-3,-0.25,9,1.0,0.028129395218002815,36.55,9,2.769999999999996,0.05814441645675894,50.41,9,14.530000000000001,0.2891542288557214,64.78,0.0,0.0,0.0
113,Bronx,2020-03-31,146,0.22188449848024316,804,-1.25,-0.04614248800295312,25.84,804,0.6799999999999997,0.014043783560512179,49.1,804,0.8100000000000023,0.017077798861480125,48.24,0.0,0.0,0.0
114,Erie,2020-03-31,27,0.9310344827586207,56,2.960000000000001,0.07895438783675648,40.45,56,3.049999999999997,0.06549280652780753,49.62,56,1.5399999999999991,0.026338293141782095,60.01,0.0,0.0,0.0
115,Kings,2020-03-31,877,0.8674579624134521,1888,-0.9199999999999982,-0.04565756823821331,19.23,1888,-0.6499999999999986,-0.01445408049810982,44.32,1888,-1.2199999999999989,-0.034097261039686945,34.56,0.0,0.0,0.0
116,Monroe,2020-03-31,-16,-0.5925925925925926,11,3.3999999999999986,0.07590980129493187,48.19,11,2.789999999999999,0.05405929083510946,54.4,11,6.969999999999999,0.123036187113857,63.62,0.0,0.0,0.0
117,Nassau,2020-03-31,301,0.3348164627363737,1200,-0.7600000000000016,-0.03284356093344864,22.38,1200,0.28999999999999915,0.006870409855484462,42.5,1200,0.38000000000000256,0.007126781695423904,53.7,0.0,0.0,0.0
118,New York,2020-03-31,226,0.5355450236966824,648,-0.5499999999999998,-0.0708762886597938,7.21,648,-0.2099999999999973,-0.01135749053542441,18.28,648,-0.4400000000000004,-0.05597964376590336,7.42,0.0,0.0,0.0
